name,colorid
#e6e2e0,1
#cd98a9,2
#dfb6c3,3
#ccb6ba,4
#c4acac,5
#dad5d1,6
#be8896,7
#cda5af,8
#bca4a8,9
#c09c9c,10
#d6d1cc,11
#b58290,12
#c7a0aa,13
#a49494,14
#ac949c,15
#d7d1ca,16
#bc8c96,17
#c9a3aa,18
#adaba5,19
#a49c94,20
#dad7d0,21
#c399a4,22
#d1b5ba,23
#bcb4b4,24
#e0d6d6,25
#b86387,26
#d593b0,27
#c78891,28
#b490a6,29
#e1d5d2,30
#c194a5,31
#c08a8a,32
#d2afa6,33
#bca7b1,34
#c7dfdb,35
#977a4a,36
#4a9cd7,37
#7facc0,38
#4f7097,39
#cad6d8,40
#5b5341,41
#908a76,42
#616268,43
#6a7889,44
#d9d2c9,45
#554544,46
#595b69,47
#ad9076,48
#806463,49
#c3c6cb,50
#241f1f,51
#a07f4a,52
#754133,53
#747979,54
#e3e6e1,55
#777072,56
#bfc981,57
#a9a6a3,58
#8c949c,59
#e0e4e0,60
#77824f,61
#abb284,62
#7b716c,63
#7c7e71,64
#abaa8f,65
#643830,66
#eeece8,67
#4a683b,68
#5f7852,69
#bdcac1,70
#404b54,71
#7b9051,72
#6f858b,73
#766573,74
#d0d7d1,75
#55503a,76
#5a6c5e,77
#869173,78
#82635e,79
#d9dbda,80
#6e6849,81
#abab83,82
#6e737e,83
#807090,84
#acb39a,85
#485d44,86
#e7eeee,87
#74616d,88
#71824e,89
#7e5b48,90
#e2f1f4,91
#bfd37d,92
#8e9d90,93
#d07b83,94
#e2e2da,95
#6c7a42,96
#a8af74,97
#6a7167,98
#846e5e,99
#344a46,100
#e0dccc,101
#83978f,102
#785149,103
#8f7f55,104
#dee0e3,105
#49555d,106
#8597a6,107
#7f5a54,108
#868163,109
#c9cbcf,110
#504e45,111
#7f8488,112
#5e6a7c,113
#6c6b6e,114
#9cccdd,115
#324b55,116
#eff8f7,117
#648074,118
#566868,119
#c5ded9,120
#324f74,121
#759fbc,122
#617187,123
#757e82,124
#a2c4ce,125
#3b636c,126
#f4f8f6,127
#657070,128
#6c8f6f,129
#cad0c7,130
#7c513a,131
#a07b5b,132
#3e3b38,133
#88614e,134
#507d79,135
#e6eae6,136
#94cabf,137
#9ba69e,138
#a4bcc4,139
#c7c0b1,140
#241f17,141
#6a4f34,142
#656053,143
#503623,144
#cfcba5,145
#323511,146
#878130,147
#615422,148
#7f8059,149
#cfcdc0,150
#1d3e17,151
#7c953b,152
#7a8670,153
#784556,154
#cccdc3,155
#233132,156
#77372c,157
#bca23a,158
#727f80,159
#c5be9d,160
#18130c,161
#988f31,162
#76745d,163
#5f4f2c,164
#cfc8ab,165
#484024,166
#8a7f64,167
#7d6e42,168
#625e3b,169
#cbcfc7,170
#434031,171
#695e44,172
#7d8c85,173
#817655,174
#c7c1a8,175
#4b452b,176
#826d3a,177
#7d785d,178
#734d29,179
#d1cab3,180
#463c29,181
#6c583a,182
#867045,183
#847a61,184
#dbe6d1,185
#446430,186
#57784c,187
#819f67,188
#6c7365,189
#ceddc4,190
#566f3d,191
#344c29,192
#748d67,193
#636577,194
#b6b8aa,195
#374831,196
#68775d,197
#55563d,198
#704062,199
#9ea34d,200
#465b3c,201
#cde4c5,202
#635a32,203
#afbf9c,204
#f1f1e7,205
#565047,206
#b0af8b,207
#99995a,208
#806f51,209
#eee2db,210
#4e5145,211
#9aa689,212
#98635b,213
#a68867,214
#4e4b4c,215
#f1efeb,216
#9f9d98,217
#7e6d62,218
#888668,219
#f2f0e9,220
#4c5846,221
#af975b,222
#986a52,223
#b8a889,224
#e7e4db,225
#292529,226
#a09988,227
#766a60,228
#807a58,229
#dbe4dc,230
#2e3532,231
#88a794,232
#6f7c74,233
#6c6c6c,234
#dddfe2,235
#2d2c35,236
#888fa0,237
#6c6c74,238
#7c7c7c,239
#325085,240
#e5e3df,241
#b42d0e,242
#d1b53a,243
#939298,244
#bad8db,245
#2c6752,246
#6cae9e,247
#5c5b5d,248
#6e6c6c,249
#b28b7c,250
#312523,251
#ebe6e2,252
#78422f,253
#964e2b,254
#c2c6ca,255
#1e1e20,256
#6d7d7e,257
#716d55,258
#68504d,259
#6287ae,260
#eaedf2,261
#aacade,262
#9eacbb,263
#323636,264
#89a0be,265
#eff0ed,266
#1b1919,267
#686c55,268
#545154,269
#f2e9e7,270
#252123,271
#a74f60,272
#bc8e98,273
#7c7474,274
#edece8,275
#272426,276
#989495,277
#7c7476,278
#7c7c74,279
#859a70,280
#e9ebe6,281
#191a17,282
#c7d9ab,283
#474742,284
#c0b9b3,285
#332e2f,286
#6e6565,287
#686946,288
#604c4f,289
#a3a475,290
#cedae7,291
#151511,292
#9b853d,293
#814a34,294
#eceee9,295
#2f302e,296
#99a199,297
#7e867c,298
#e5dcd3,299
#4f8f32,300
#171c17,301
#cb8f4d,302
#945c3a,303
#bfc9bb,304
#1f1d20,305
#6f978e,306
#ac6d4b,307
#744a38,308
#cac2d7,309
#2c2627,310
#9f7552,311
#744a32,312
#897c98,313
#9ab1c2,314
#1f1e22,315
#ebf0f3,316
#514f54,317
#605f61,318
#cab279,319
#37281e,320
#f3f1eb,321
#755435,322
#886937,323
#e0dfda,324
#382d28,325
#7a5c47,326
#a58260,327
#8b8a87,328
#ddddd4,329
#35302d,330
#878683,331
#725e53,332
#7e6f5e,333
#dbe5dd,334
#35322d,335
#6c6459,336
#869b90,337
#7b7962,338
#b49f78,339
#2c2019,340
#eeece5,341
#6d4027,342
#9a6034,343
#d2cfc7,344
#2b2622,345
#5b544c,346
#7f7a71,347
#6b665a,348
#e5dbce,349
#393128,350
#7d5834,351
#9d7a51,352
#948c81,353
#dedbd5,354
#2e2521,355
#6f5745,356
#8492a0,357
#8e765b,358
#d0c9c2,359
#3c3133,360
#8a6e62,361
#654539,362
#8c6146,363
#e2d8cb,364
#3d322a,365
#ab9272,366
#735644,367
#8f724d,368
#d6d1c6,369
#3b3635,370
#81817f,371
#685750,372
#756759,373
#d9d4c7,374
#382e28,375
#6b5445,376
#8b7e6f,377
#836c4c,378
#d7c4c6,379
#282120,380
#9c7d86,381
#754643,382
#816a55,383
#d3d5cc,384
#292721,385
#7b8954,386
#8b8d89,387
#6c5e57,388
#807b58,389
#efeee9,390
#5b392e,391
#241f16,392
#d4c695,393
#6d7046,394
#edece3,395
#b3bf97,396
#13100f,397
#b0aca9,398
#51583d,399
#eceae0,400
#a5bb8c,401
#979673,402
#aaa8a7,403
#ece2d7,404
#402e26,405
#bb8964,406
#7e4b38,407
#a16e45,408
#c1c6c1,409
#252521,410
#717476,411
#59504a,412
#5e6d4c,413
#8ba5aa,414
#1f2424,415
#e6ede5,416
#4f4f4b,417
#546050,418
#d8dcb7,419
#312c20,420
#74583d,421
#a59865,422
#827446,423
#d6d2ba,424
#2e261f,425
#72503a,426
#8b6c4d,427
#9f886c,428
#c3b8bd,429
#161517,430
#706972,431
#785950,432
#6b4749,433
#e6dfd0,434
#211f20,435
#ba9f7b,436
#aa7e51,437
#995b38,438
#cec7b5,439
#32251f,440
#8d7c69,441
#684c37,442
#7c674c,443
#acae7c,444
#2f291e,445
#f4f4ec,446
#604e3b,447
#686a37,448
#a99f7d,449
#2a2622,450
#e6eae4,451
#724d35,452
#8b653f,453
#dbdfda,454
#37312d,455
#8f9291,456
#736557,457
#83785b,458
#a79592,459
#45312f,460
#e5dfdb,461
#604f4a,462
#555555,463
#dcd3cf,464
#544340,465
#998683,466
#9e6572,467
#72706c,468
#c9bcb7,469
#423430,470
#6a564f,471
#7f706a,472
#855a63,473
#c1b1ac,474
#473835,475
#796a66,476
#68514d,477
#6f5c53,478
#d9dbd5,479
#1a181a,480
#879390,481
#99815e,482
#795f58,483
#dbded1,484
#292826,485
#7d8154,486
#878e7a,487
#6f604d,488
#cec9bf,489
#2c201d,490
#5d4b40,491
#7a776e,492
#70634c,493
#cdd9cf,494
#23211b,495
#7b9953,496
#7cb1c0,497
#634e3c,498
#c3bdbe,499
#312c3f,500
#b4942a,501
#6c6d85,502
#5e443d,503
#1f1b13,504
#e1d9cd,505
#a7642f,506
#8a8d8b,507
#828484,508
#c3ccd1,509
#3a2c2a,510
#70463e,511
#936b58,512
#76777d,513
#d1d1c7,514
#3a2e27,515
#695145,516
#7e7971,517
#7c6a56,518
#9096a7,519
#eceee6,520
#2a2326,521
#74544c,522
#643d3b,523
#8a8b84,524
#282321,525
#ebede5,526
#573832,527
#684e42,528
#c1ab91,529
#3b2c25,530
#614537,531
#766151,532
#705a38,533
#bba186,534
#362723,535
#644738,536
#796558,537
#7e5a37,538
#cfccba,539
#291c19,540
#56453d,541
#787360,542
#6f7144,543
#dbd9d1,544
#322928,545
#8e847a,546
#71594d,547
#84725c,548
#d4cac6,549
#1c1a1c,550
#82797b,551
#66585a,552
#6e645c,553
#cde1eb,554
#48575f,555
#74818a,556
#8c9da6,557
#7b8c94,558
#9f9a99,559
#f3f3f2,560
#595748,561
#5f6471,562
#746265,563
#efeaec,564
#f6dc16,565
#675674,566
#cab590,567
#a76e67,568
#d2d4d4,569
#52565b,570
#7f858d,571
#76655f,572
#868a62,573
#e0b6b4,574
#1d1717,575
#ac4549,576
#b76466,577
#91544c,578
#b4b7cd,579
#25222c,580
#67657b,581
#544c5f,582
#585656,583
#cecbbe,584
#302121,585
#684541,586
#908065,587
#796147,588
#d3c9c7,589
#2f2428,590
#784546,591
#866456,592
#7f7274,593
#c4c0b6,594
#2c2122,595
#5f3f44,596
#6f686b,597
#715c46,598
#b6ad8f,599
#2d271e,600
#f1f1ed,601
#5f513d,602
#6a603f,603
#c9c9be,604
#221f1d,605
#807f66,606
#605448,607
#6f6a47,608
#c9cabf,609
#22211f,610
#787d6d,611
#72764b,612
#5f5b50,613
#c7c7ba,614
#963e33,615
#22211c,616
#76856e,617
#97664f,618
#ae997d,619
#29251b,620
#f0f1ee,621
#776334,622
#64462f,623
#a1a675,624
#e9e9e9,625
#1e1e19,626
#6b7532,627
#565247,628
#c3c4c0,629
#201f21,630
#707371,631
#997444,632
#784d2f,633
#8e7045,634
#e1f1ed,635
#a3a89c,636
#778684,637
#848484,638
#f2f0d8,639
#525248,640
#5b7ea0,641
#a7a58d,642
#868174,643
#e6e4ce,644
#545c54,645
#a3a28b,646
#87866a,647
#848474,648
#d7e5e1,649
#7a6045,650
#929c96,651
#6d7e7a,652
#cadeea,653
#c23236,654
#2a3c3e,655
#659a44,656
#63b1e1,657
#b6343a,658
#37456a,659
#f5e7e5,660
#bda9bc,661
#d18e89,662
#d4c7c4,663
#181516,664
#897371,665
#755857,666
#7c645c,667
#dcdbdf,668
#252428,669
#898998,670
#6c6474,671
#6e6c6a,672
#dbddd6,673
#242323,674
#8e9289,675
#6c6c68,676
#6d7564,677
#cfc3bb,678
#2c241f,679
#ab9740,680
#685041,681
#847871,682
#c3a47a,683
#e8e9e8,684
#211f1f,685
#75512e,686
#8d6739,687
#d4d1c4,688
#7f6b40,689
#211e1f,690
#96835d,691
#62492c,692
#a78d6a,693
#f4f2ef,694
#161419,695
#634122,696
#e6cead,697
#e9e8d9,698
#64594b,699
#a19a89,700
#6e7678,701
#eaeada,702
#5a5551,703
#a09d8c,704
#877c64,705
#e9e9d9,706
#57504b,707
#9f9a89,708
#75655d,709
#847962,710
#e8e9d9,711
#625a4e,712
#a09a89,713
#6e7270,714
#7e7473,715
#536b9d,716
#decba0,717
#412e24,718
#a0b57e,719
#5e445c,720
#35371c,721
#e1e5cf,722
#704d22,723
#6f8025,724
#8e9991,725
#454067,726
#d4d7ce,727
#8aaa9d,728
#151315,729
#948bb8,730
#b7d2d4,731
#1c262d,732
#998042,733
#68a1ba,734
#854e2c,735
#bcd6d4,736
#a4a95d,737
#84983b,738
#191e17,739
#b6492c,740
#d4dbdb,741
#314045,742
#768b9b,743
#75584d,744
#85755e,745
#bfc4bb,746
#2a2625,747
#776e66,748
#5f514b,749
#6c5c49,750
#cfcebb,751
#2b231f,752
#94873b,753
#6a513e,754
#7f7c6c,755
#4f9ddd,756
#eee02a,757
#191c23,758
#5e6834,759
#9cd8fc,760
#64c07a,761
#1c2117,762
#d78850,763
#358bc9,764
#406a2e,765
#79717b,766
#e4e4e7,767
#aeb1cd,768
#332b34,769
#c2b4a6,770
#888490,771
#e9e9ea,772
#322a31,773
#5f4e3e,774
#493732,775
#c1bdb5,776
#3b312a,777
#604e41,778
#736d67,779
#665955,780
#c7c1b5,781
#393739,782
#7d7d7a,783
#6e5140,784
#866c55,785
#887f7d,786
#efeceb,787
#151316,788
#554d4c,789
#504448,790
#8e8284,791
#181619,792
#4e424c,793
#514c4c,794
#d18f3e,795
#372a1d,796
#f3f0e8,797
#bd4316,798
#f6dd4f,799
#4d3626,800
#ebe7e2,801
#997b55,802
#aea9a7,803
#999698,804
#d9d2c8,805
#2a201c,806
#99714e,807
#86817b,808
#dad3cf,809
#2c2423,810
#9b7d72,811
#ac6849,812
#794d3c,813
#d9cfc8,814
#281f1c,815
#977c70,816
#745549,817
#816653,818
#dfe2d1,819
#535b41,820
#aead7b,821
#90924d,822
#6c6444,823
#d3d2c8,824
#616b44,825
#8f8967,826
#4b463b,827
#61685e,828
#a2b47c,829
#e9f0e8,830
#495730,831
#69773a,832
#615940,833
#b2be80,834
#47512a,835
#ebf2eb,836
#8b8f3a,837
#61613b,838
#dcdaca,839
#3c3731,840
#96937b,841
#6f6153,842
#777258,843
#d2d8c5,844
#302b2a,845
#6b5e5c,846
#857f77,847
#757654,848
#dbd6d4,849
#30292b,850
#765d5c,851
#8d7e7f,852
#8c6e63,853
#2c2625,854
#eadcd1,855
#ba4765,856
#898f8a,857
#c9c436,858
#efe0b6,859
#c85039,860
#382d2a,861
#b49ab3,862
#a49966,863
#cdd1c6,864
#2b3121,865
#7a8743,866
#6f4632,867
#74838c,868
#c4c5cd,869
#46383c,870
#6a5a54,871
#786d73,872
#595769,873
#cdccd3,874
#302a2e,875
#7f7b7f,876
#68585f,877
#6f6463,878
#b6b3ab,879
#1d1b1c,880
#6b6962,881
#614541,882
#68564a,883
#d7d5bb,884
#2c2523,885
#a59568,886
#a7a340,887
#7e5b4f,888
#e3dcce,889
#352925,890
#a14331,891
#878c9b,892
#978649,893
#d5d7ce,894
#343021,895
#828636,896
#a2a06e,897
#695148,898
#776b8d,899
#e3d1cf,900
#352222,901
#b4b7d2,902
#aca8d6,903
#807a99,904
#302a22,905
#dcc4b5,906
#babcc5,907
#2f2f55,908
#beafb5,909
#271d1c,910
#d4a830,911
#5f453e,912
#6e6679,913
#938eb4,914
#d4a42e,915
#2a1d23,916
#8e341f,917
#e3c4aa,918
#a1a27a,919
#343026,920
#eaefe7,921
#644a37,922
#918b2f,923
#d0d0d1,924
#36313b,925
#af4f35,926
#7e7e88,927
#9c7155,928
#6d7693,929
#e8edef,930
#1d1c23,931
#a9c6ca,932
#28325a,933
#dae1df,934
#91994d,935
#a5b378,936
#956874,937
#6aa3b6,938
#ded4c2,939
#483634,940
#735146,941
#9c846c,942
#8f714b,943
#af8e71,944
#eeefe7,945
#181415,946
#74493e,947
#856d36,948
#a68561,949
#eee9e4,950
#1f1a19,951
#7e412e,952
#e7cea7,953
#ad8a54,954
#eae7df,955
#1c1a16,956
#764032,957
#e7ce7e,958
#cccecc,959
#352924,960
#694d40,961
#8e765a,962
#80848e,963
#aea091,964
#25211b,965
#eceaea,966
#73613b,967
#60472f,968
#a89d8b,969
#251e1b,970
#efedeb,971
#6d693d,972
#5a4639,973
#afadb7,974
#302e3c,975
#896648,976
#686b82,977
#6d433d,978
#b1b2c7,979
#87614c,980
#69384a,981
#302941,982
#63627e,983
#979daf,984
#e6e4e2,985
#30333d,986
#a1723d,987
#82413c,988
#ababbf,989
#372f46,990
#654460,991
#6a6884,992
#846847,993
#c4c7b3,994
#2e2f2a,995
#8a8768,996
#645847,997
#947b39,998
#eaefe3,999
#89a141,1000
#a0c078,1001
#6d8f6b,1002
#88928e,1003
#9e974a,1004
#e0edef,1005
#28252b,1006
#adad95,1007
#645038,1008
#ded9d9,1009
#332f34,1010
#7a819c,1011
#864f4a,1012
#a88c4f,1013
#c7ccc9,1014
#28222b,1015
#654b64,1016
#787d8a,1017
#a98e43,1018
#ececea,1019
#2f251e,1020
#c79d31,1021
#8b491b,1022
#ada67b,1023
#e0e6e0,1024
#252523,1025
#899659,1026
#8c968e,1027
#6f6960,1028
#d7cabf,1029
#352b2c,1030
#744e47,1031
#8e7a70,1032
#856851,1033
#968c94,1034
#1b1823,1035
#8a3e5a,1036
#f4f0ee,1037
#ae833c,1038
#f3f3ec,1039
#2c261c,1040
#b29830,1041
#ccb35b,1042
#9b511e,1043
#b1302c,1044
#371a19,1045
#f1eeea,1046
#c46459,1047
#b38a89,1048
#f0f3f1,1049
#223a6c,1050
#a0b1ca,1051
#898587,1052
#5f88c6,1053
#e3e7e4,1054
#27292a,1055
#939c9c,1056
#91675b,1057
#d99d62,1058
#c7c7c5,1059
#282929,1060
#74797f,1061
#665751,1062
#8e6c50,1063
#232525,1064
#77724c,1065
#7a827b,1066
#605944,1067
#babebc,1068
#262521,1069
#6a6b69,1070
#575045,1071
#7a6943,1072
#ebe4da,1073
#6a5a44,1074
#ae9e7e,1075
#6e6867,1076
#7c756c,1077
#b7b188,1078
#604929,1079
#f3efe7,1080
#5a5749,1081
#7a6047,1082
#afa287,1083
#ebe8df,1084
#4f402c,1085
#605449,1086
#646554,1087
#d3ccb8,1088
#534534,1089
#8f806c,1090
#695f56,1091
#6c6c5c,1092
#5a8742,1093
#e1e5e5,1094
#e8c432,1095
#7481a4,1096
#98cd87,1097
#555474,1098
#d5daeb,1099
#b1bbdf,1100
#99a1d7,1101
#9695ac,1102
#d6dbd6,1103
#262727,1104
#54504c,1105
#748191,1106
#696a5c,1107
#43382b,1108
#abae9b,1109
#958265,1110
#9193a3,1111
#c2c9bf,1112
#4c452f,1113
#838363,1114
#655650,1115
#4b585c,1116
#c9cccc,1117
#3f3e2d,1118
#7a7968,1119
#57675a,1120
#534e51,1121
#ac8e6e,1122
#ece9e2,1123
#484b4b,1124
#e4d1a4,1125
#825440,1126
#d3cac7,1127
#474342,1128
#c89971,1129
#ad9250,1130
#72584a,1131
#dadfd0,1132
#8d8a44,1133
#272e2a,1134
#8ba2ab,1135
#6c5527,1136
#cfd5c0,1137
#858d3f,1138
#272e29,1139
#7f8b88,1140
#5c5c56,1141
#dee2d1,1142
#3b4636,1143
#838c4d,1144
#92a09e,1145
#64635a,1146
#dad8d1,1147
#3a3739,1148
#6e5a58,1149
#85858d,1150
#b9874b,1151
#dfd7c9,1152
#464142,1153
#9a7e6d,1154
#785750,1155
#b47c43,1156
#e6e6e1,1157
#454148,1158
#7b5f58,1159
#bf8c52,1160
#8f8e93,1161
#d4d5ce,1162
#403f43,1163
#cf9541,1164
#a6916f,1165
#6e564a,1166
#cda792,1167
#9e512e,1168
#944b69,1169
#60434f,1170
#ecccd3,1171
#95a8c0,1172
#584856,1173
#3b495a,1174
#797e5d,1175
#e7e4e6,1176
#e5e2cd,1177
#a48b4c,1178
#3e3b33,1179
#9d9073,1180
#6f6f6b,1181
#e9e5ce,1182
#3a3b34,1183
#a5914d,1184
#c6b376,1185
#936542,1186
#e5e8e5,1187
#ab9743,1188
