stampid,colorid
1,1
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
3,11
3,12
3,13
3,14
3,15
4,16
4,17
4,18
4,19
4,20
5,5
5,21
5,22
5,23
5,24
6,25
6,26
6,27
6,28
6,29
8,30
8,31
8,32
8,33
8,34
9,35
9,36
9,37
9,38
9,39
10,40
10,41
10,42
10,43
10,44
11,45
11,46
11,47
11,48
11,49
12,50
12,51
12,52
12,53
12,54
13,55
13,56
13,57
13,58
13,59
14,60
14,61
14,62
14,63
14,64
15,65
15,66
15,67
15,68
15,69
16,70
16,71
16,72
16,73
16,74
17,75
17,76
17,77
17,78
17,79
18,80
18,81
18,82
18,83
18,84
19,85
19,86
19,87
19,88
19,89
20,90
20,91
20,92
20,93
20,94
21,95
21,96
21,97
21,98
21,99
22,100
22,101
22,102
22,103
22,104
23,105
23,106
23,107
23,108
23,109
24,110
24,111
24,112
24,113
24,114
25,115
25,116
25,117
25,118
25,119
27,120
27,121
27,122
27,123
27,124
28,125
28,126
28,127
28,128
28,129
29,130
29,131
29,132
29,133
29,134
30,135
30,136
30,137
30,138
30,139
31,140
31,141
31,142
31,143
31,144
32,145
32,146
32,147
32,148
32,149
33,150
33,151
33,152
33,153
33,154
34,155
34,156
34,157
34,158
34,159
35,160
35,161
35,162
35,163
35,164
37,165
37,166
37,167
37,168
37,169
38,170
38,171
38,172
38,173
38,174
39,175
39,176
39,177
39,178
39,179
40,180
40,181
40,182
40,183
40,184
43,185
43,186
43,187
43,188
43,189
44,190
44,191
44,192
44,193
44,194
45,195
45,196
45,197
45,198
45,199
46,200
46,201
46,202
46,203
46,204
48,205
48,206
48,207
48,208
48,209
49,210
49,211
49,212
49,213
49,214
50,215
50,216
50,217
50,218
50,219
51,220
51,221
51,222
51,223
51,224
53,225
53,226
53,227
53,228
53,229
54,230
54,231
54,232
54,233
54,234
55,235
55,236
55,237
55,238
55,239
57,240
57,241
57,242
57,243
57,244
58,245
58,246
58,247
58,248
58,249
59,250
59,251
59,252
59,253
59,254
61,255
61,256
61,257
61,258
61,259
62,260
62,261
62,262
62,263
62,264
63,265
63,266
63,267
63,268
63,269
64,270
64,271
64,272
64,273
64,274
65,275
65,276
65,277
65,278
65,279
67,280
67,281
67,282
67,283
67,284
68,285
68,286
68,287
68,288
68,289
69,290
69,291
69,292
69,293
69,294
71,279
71,295
71,296
71,297
71,298
72,299
72,300
72,301
72,302
72,303
73,304
73,305
73,306
73,307
73,308
74,309
74,310
74,311
74,312
74,313
75,314
75,315
75,316
75,317
75,318
77,319
77,320
77,321
77,322
77,323
78,324
78,325
78,326
78,327
78,328
79,329
79,330
79,331
79,332
79,333
80,334
80,335
80,336
80,337
80,338
82,339
82,340
82,341
82,342
82,343
83,344
83,345
83,346
83,347
83,348
84,349
84,350
84,351
84,352
84,353
85,354
85,355
85,356
85,357
85,358
86,359
86,360
86,361
86,362
86,363
87,364
87,365
87,366
87,367
87,368
88,369
88,370
88,371
88,372
88,373
89,374
89,375
89,376
89,377
89,378
91,379
91,380
91,381
91,382
91,383
92,384
92,385
92,386
92,387
92,388
93,389
93,390
93,391
93,392
93,393
94,394
94,395
94,396
94,397
94,398
95,399
95,400
95,401
95,402
95,403
97,404
97,405
97,406
97,407
97,408
98,409
98,410
98,411
98,412
98,413
99,414
99,415
99,416
99,417
99,418
100,419
100,420
100,421
100,422
100,423
101,424
101,425
101,426
101,427
101,428
103,429
103,430
103,431
103,432
103,433
104,434
104,435
104,436
104,437
104,438
105,439
105,440
105,441
105,442
105,443
106,444
106,445
106,446
106,447
106,448
107,449
107,450
107,451
107,452
107,453
108,454
108,455
108,456
108,457
108,458
110,459
110,460
110,461
110,462
110,463
111,464
111,465
111,466
111,467
111,468
112,469
112,470
112,471
112,472
112,473
113,474
113,475
113,476
113,477
113,478
116,479
116,480
116,481
116,482
116,483
117,484
117,485
117,486
117,487
117,488
119,489
119,490
119,491
119,492
119,493
120,494
120,495
120,496
120,497
120,498
121,499
121,500
121,501
121,502
121,503
122,504
122,505
122,506
122,507
122,508
123,509
123,510
123,511
123,512
123,513
124,514
124,515
124,516
124,517
124,518
125,519
125,520
125,521
125,522
125,523
126,524
126,525
126,526
126,527
126,528
129,529
129,530
129,531
129,532
129,533
130,534
130,535
130,536
130,537
130,538
132,539
132,540
132,541
132,542
132,543
133,544
133,545
133,546
133,547
133,548
134,549
134,550
134,551
134,552
134,553
135,554
135,555
135,556
135,557
135,558
136,559
136,560
136,561
136,562
136,563
137,564
137,565
137,566
137,567
137,568
138,569
138,570
138,571
138,572
138,573
141,574
141,575
141,576
141,577
141,578
142,579
142,580
142,581
142,582
142,583
144,584
144,585
144,586
144,587
144,588
145,589
145,590
145,591
145,592
145,593
146,594
146,595
146,596
146,597
146,598
148,599
148,600
148,601
148,602
148,603
149,604
149,605
149,606
149,607
149,608
150,609
150,610
150,611
150,612
150,613
152,614
152,615
152,616
152,617
152,618
153,619
153,620
153,621
153,622
153,623
154,624
154,625
154,626
154,627
154,628
155,629
155,630
155,631
155,632
155,633
157,634
157,635
157,636
157,637
157,638
158,639
158,640
158,641
158,642
158,643
159,644
159,645
159,646
159,647
159,648
160,239
160,649
160,650
160,651
160,652
163,653
163,654
163,655
163,656
163,657
164,658
164,659
164,660
164,661
164,662
166,663
166,664
166,665
166,666
166,667
167,668
167,669
167,670
167,671
167,672
168,673
168,674
168,675
168,676
168,677
170,678
170,679
170,680
170,681
170,682
171,683
171,684
171,685
171,686
171,687
172,688
172,689
172,690
172,691
172,692
173,693
173,694
173,695
173,696
173,697
175,274
175,698
175,699
175,700
175,701
176,257
176,702
176,703
176,704
176,705
177,706
177,707
177,708
177,709
177,710
178,711
178,712
178,713
178,714
178,715
181,716
181,717
181,718
181,719
181,720
182,721
182,722
182,723
182,724
182,725
183,726
183,727
183,728
183,729
183,730
185,731
185,732
185,733
185,734
185,735
186,736
186,737
186,738
186,739
186,740
188,741
188,742
188,743
188,744
188,745
189,746
189,747
189,748
189,749
189,750
190,751
190,752
190,753
190,754
190,755
191,756
191,757
191,758
191,759
191,760
192,761
192,762
192,763
192,764
192,765
194,766
194,767
194,768
194,769
194,770
195,771
195,772
195,773
195,774
195,775
196,776
196,777
196,778
196,779
196,780
197,781
197,782
197,783
197,784
197,785
200,786
200,787
200,788
200,789
200,790
201,787
201,791
201,792
201,793
201,794
203,795
203,796
203,797
203,798
203,799
204,800
204,801
204,802
204,803
204,804
205,633
205,805
205,806
205,807
205,808
206,809
206,810
206,811
206,812
206,813
208,814
208,815
208,816
208,817
208,818
209,819
209,820
209,821
209,822
209,823
210,824
210,825
210,826
210,827
210,828
211,829
211,830
211,831
211,832
211,833
212,834
212,835
212,836
212,837
212,838
215,839
215,840
215,841
215,842
215,843
216,844
216,845
216,846
216,847
216,848
217,849
217,850
217,851
217,852
217,853
219,854
219,855
219,856
219,857
219,858
220,859
220,860
220,861
220,862
220,863
221,864
221,865
221,866
221,867
221,868
222,869
222,870
222,871
222,872
222,873
224,874
224,875
224,876
224,877
224,878
225,879
225,880
225,881
225,882
225,883
227,884
227,885
227,886
227,887
227,888
228,889
228,890
228,891
228,892
228,893
229,894
229,895
229,896
229,897
229,898
231,899
231,900
231,901
231,902
231,903
232,904
232,905
232,906
232,907
232,908
233,909
233,910
233,911
233,912
233,913
234,914
234,915
234,916
234,917
234,918
237,919
237,920
237,921
237,922
237,923
238,924
238,925
238,926
238,927
238,928
239,929
239,930
239,931
239,932
239,933
240,934
240,935
240,936
240,937
240,938
241,939
241,940
241,941
241,942
241,943
242,944
242,945
242,946
242,947
242,948
243,949
243,950
243,951
243,952
243,953
244,954
244,955
244,956
244,957
244,958
246,959
246,960
246,961
246,962
246,963
247,964
247,965
247,966
247,967
247,968
248,969
248,970
248,971
248,972
248,973
250,974
250,975
250,976
250,977
250,978
251,979
251,980
251,981
251,982
251,983
252,984
252,985
252,986
252,987
252,988
253,989
253,990
253,991
253,992
253,993
256,994
256,995
256,996
256,997
256,998
257,999
257,1000
257,1001
257,1002
257,1003
258,1004
258,1005
258,1006
258,1007
258,1008
259,1009
259,1010
259,1011
259,1012
259,1013
260,1014
260,1015
260,1016
260,1017
260,1018
261,1019
261,1020
261,1021
261,1022
261,1023
262,1024
262,1025
262,1026
262,1027
262,1028
264,1029
264,1030
264,1031
264,1032
264,1033
265,1034
265,1035
265,1036
265,1037
265,1038
266,1039
266,1040
266,1041
266,1042
266,1043
267,1044
267,1045
267,1046
267,1047
267,1048
268,1049
268,1050
268,1051
268,1052
268,1053
269,1054
269,1055
269,1056
269,1057
269,1058
272,1059
272,1060
272,1061
272,1062
272,1063
273,614
273,1064
273,1065
273,1066
273,1067
274,1068
274,1069
274,1070
274,1071
274,1072
276,1073
276,1074
276,1075
276,1076
276,1077
277,1078
277,1079
277,1080
277,1081
277,1082
278,1083
278,1084
278,1085
278,1086
278,1087
279,1088
279,1089
279,1090
279,1091
279,1092
282,1093
282,1094
282,1095
282,1096
282,1097
283,1098
283,1099
283,1100
283,1101
283,1102
284,1103
284,1104
284,1105
284,1106
284,1107
285,544
285,1108
285,1109
285,1110
285,1111
287,1112
287,1113
287,1114
287,1115
287,1116
288,1117
288,1118
288,1119
288,1120
288,1121
290,1122
290,1123
290,1124
290,1125
290,1126
291,1127
291,1128
291,1129
291,1130
291,1131
292,1132
292,1133
292,1134
292,1135
292,1136
293,1137
293,1138
293,1139
293,1140
293,1141
294,1142
294,1143
294,1144
294,1145
294,1146
296,1147
296,1148
296,1149
296,1150
296,1151
297,1152
297,1153
297,1154
297,1155
297,1156
298,1157
298,1158
298,1159
298,1160
298,1161
299,1162
299,1163
299,1164
299,1165
299,1166
302,1167
302,1168
302,1169
302,1170
302,1171
303,1172
303,1173
303,1174
303,1175
303,1176
304,1177
304,1178
304,1179
304,1180
304,1181
305,1182
305,1183
305,1184
305,1185
305,1186
306,1187
306,1188
306,1189
306,1190
306,1191
308,1192
308,1193
308,1194
308,1195
308,1196
309,1197
309,1198
309,1199
309,1200
309,1201
311,1202
311,1203
311,1204
311,1205
311,1206
312,1207
312,1208
312,1209
312,1210
312,1211
313,1212
313,1213
313,1214
313,1215
313,1216
314,1217
314,1218
314,1219
314,1220
314,1221
316,1222
316,1223
316,1224
316,1225
316,1226
317,1227
317,1228
317,1229
317,1230
317,1231
318,1232
318,1233
318,1234
318,1235
318,1236
319,1237
319,1238
319,1239
319,1240
319,1241
320,1242
320,1243
320,1244
320,1245
320,1246
321,1247
321,1248
321,1249
321,1250
321,1251
323,1252
323,1253
323,1254
323,1255
323,1256
324,1257
324,1258
324,1259
324,1260
324,1261
325,1262
325,1263
325,1264
325,1265
325,1266
326,1267
326,1268
326,1269
326,1270
326,1271
327,1272
327,1273
327,1274
327,1275
327,1276
329,279
329,1277
329,1278
329,1279
329,1280
330,1281
330,1282
330,1283
330,1284
330,1285
331,1286
331,1287
331,1288
331,1289
331,1290
332,1291
332,1292
332,1293
332,1294
332,1295
333,1296
333,1297
333,1298
333,1299
333,1300
335,1301
335,1302
335,1303
335,1304
335,1305
336,1306
336,1307
336,1308
336,1309
336,1310
338,1311
338,1312
338,1313
338,1314
338,1315
339,1316
339,1317
339,1318
339,1319
339,1320
340,417
340,1321
340,1322
340,1323
340,1324
341,1325
341,1326
341,1327
341,1328
341,1329
343,1330
343,1331
343,1332
343,1333
343,1334
344,1335
344,1336
344,1337
344,1338
344,1339
345,1340
345,1341
345,1342
345,1343
345,1344
346,1345
346,1346
346,1347
346,1348
346,1349
347,1350
347,1351
347,1352
347,1353
347,1354
348,1355
348,1356
348,1357
348,1358
348,1359
349,1360
349,1361
349,1362
349,1363
349,1364
350,1365
350,1366
350,1367
350,1368
350,1369
351,1370
351,1371
351,1372
351,1373
351,1374
353,1375
353,1376
353,1377
353,1378
353,1379
355,1380
355,1381
355,1382
355,1383
355,1384
356,1385
356,1386
356,1387
356,1388
356,1389
357,1390
357,1391
357,1392
357,1393
357,1394
358,1395
358,1396
358,1397
358,1398
358,1399
359,1400
359,1401
359,1402
359,1403
359,1404
360,1405
360,1406
360,1407
360,1408
360,1409
361,1410
361,1411
361,1412
361,1413
361,1414
364,1415
364,1416
364,1417
364,1418
364,1419
365,1420
365,1421
365,1422
365,1423
365,1424
367,1425
367,1426
367,1427
367,1428
367,1429
368,1430
368,1431
368,1432
368,1433
368,1434
369,1435
369,1436
369,1437
369,1438
369,1439
370,1440
370,1441
370,1442
370,1443
370,1444
371,1445
371,1446
371,1447
371,1448
371,1449
373,1450
373,1451
373,1452
373,1453
373,1454
374,1455
374,1456
374,1457
374,1458
374,1459
375,1460
375,1461
375,1462
375,1463
375,1464
376,1465
376,1466
376,1467
376,1468
376,1469
378,1470
378,1471
378,1472
378,1473
378,1474
379,1475
379,1476
379,1477
379,1478
379,1479
380,1480
380,1481
380,1482
380,1483
380,1484
381,1485
381,1486
381,1487
381,1488
381,1489
382,1490
382,1491
382,1492
382,1493
382,1494
383,1495
383,1496
383,1497
383,1498
383,1499
