stampid,pathid
1,1
2,2
3,3
4,4
5,5
6,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
27,25
28,26
29,27
30,28
31,29
32,30
33,31
34,32
35,33
37,34
38,35
39,36
40,37
43,38
44,39
45,40
46,41
48,42
49,43
50,44
51,45
53,46
54,47
55,48
57,49
58,50
59,51
61,52
62,53
63,54
64,55
65,56
67,57
68,58
69,59
71,60
72,61
73,62
74,63
75,64
77,65
78,66
79,67
80,68
82,69
83,70
84,71
85,72
86,73
87,74
88,75
89,76
91,77
92,78
93,79
94,80
95,81
97,82
98,83
99,84
100,85
101,86
103,87
104,88
105,89
106,90
107,91
108,92
110,93
111,94
112,95
113,96
116,97
117,98
119,99
120,100
121,101
122,102
123,103
124,104
125,105
126,106
129,107
130,108
132,109
133,110
134,111
135,112
136,113
137,114
138,115
141,116
142,117
144,118
145,119
146,120
148,121
149,122
150,123
152,124
153,125
154,126
155,127
157,128
158,129
159,130
160,131
163,132
164,133
166,134
167,135
168,136
170,137
171,138
172,139
173,140
175,141
176,142
177,143
178,144
181,145
182,146
183,147
185,148
186,149
188,150
189,151
190,152
191,153
192,154
194,155
195,156
196,157
197,158
200,159
201,160
203,161
204,162
205,163
206,164
208,165
209,166
210,167
211,168
212,169
215,170
216,171
217,172
219,173
220,174
221,175
222,176
224,177
225,178
227,179
228,180
229,181
231,182
232,183
233,184
234,185
237,186
238,187
239,188
240,189
241,190
242,191
243,192
244,193
246,194
247,195
248,196
250,197
251,198
252,199
253,200
256,201
257,202
258,203
259,204
260,205
261,206
262,207
264,208
265,209
266,210
267,211
268,212
269,213
272,214
273,215
274,216
276,217
277,218
278,219
279,220
282,221
283,222
284,223
285,224
287,225
288,226
290,227
291,228
292,229
293,230
294,231
296,232
297,233
298,234
299,235
302,236
303,237
304,238
305,239
306,240
308,241
309,242
311,243
312,244
313,245
314,246
316,247
317,248
318,249
319,250
320,251
321,252
323,253
324,254
325,255
326,256
327,257
329,258
330,259
331,260
332,261
333,262
335,263
336,264
338,265
339,266
340,267
341,268
343,269
344,270
345,271
346,272
347,273
348,274
349,275
350,276
351,277
353,278
355,279
356,280
357,281
358,282
359,283
360,284
361,285
364,286
365,287
367,288
368,289
369,290
370,291
371,292
373,293
374,294
375,295
376,296
378,297
379,298
380,299
381,300
382,301
383,302
384,303
386,304
387,305
388,306
389,307
391,308
392,309
394,310
395,311
396,312
397,313
398,314
399,315
401,316
402,317
403,318
405,319
406,320
407,321
408,322
410,323
411,324
413,325
414,326
415,327
416,328
417,329
418,330
420,331
421,332
422,333
423,334
424,335
425,336
427,337
429,338
430,339
432,340
433,341
434,342
435,343
436,344
437,345
439,346
440,347
441,348
442,349
443,350
445,351
446,352
447,353
448,354
450,355
451,356
452,357
453,358
454,359
456,360
457,361
458,362
459,363
461,364
462,365
463,366
465,367
466,368
467,369
469,370
470,371
471,372
473,373
474,374
475,375
477,376
478,377
479,378
480,379
482,380
483,381
485,382
486,383
487,384
489,385
491,386
492,387
493,388
494,389
495,390
497,391
498,392
499,393
501,394
502,395
503,396
504,397
506,398
507,399
508,400
510,401
512,402
513,403
514,404
515,405
516,406
518,407
519,408
520,409
521,410
523,411
524,412
526,413
527,414
528,415
529,416
530,417
531,418
532,419
533,420
535,421
536,422
537,423
538,424
540,425
541,426
543,427
544,428
545,429
546,430
547,431
549,432
550,433
551,434
553,435
555,436
556,437
557,438
558,439
559,440
560,441
561,442
562,443
563,444
565,445
566,446
567,447
568,448
569,449
572,450
573,451
575,452
576,453
577,454
578,455
579,456
580,457
581,458
582,459
583,460
585,461
586,462
588,463
589,464
591,465
592,466
593,467
595,468
596,469
597,470
598,471
599,472
601,473
602,474
604,475
605,476
606,477
607,478
608,479
610,480
611,481
614,482
615,483
617,484
618,485
619,486
620,487
621,488
624,489
625,490
626,491
627,492
628,493
630,494
631,495
637,496
638,497
640,498
641,499
642,500
643,501
650,502
651,503
653,504
654,505
660,506
661,507
663,508
664,509
665,510
666,511
667,512
668,513
669,514
670,515
671,516
672,517
675,518
676,519
678,520
679,521
682,522
683,523
685,524
686,525
687,526
688,527
689,528
696,529
697,530
698,531
701,532
702,533
704,534
705,535
707,536
708,537
709,538
710,539
711,540
712,541
713,542
714,543
717,544
718,545
719,546
721,547
722,548
724,549
726,550
727,551
729,552
730,553
731,554
732,555
733,556
734,557
735,558
736,559
737,560
738,561
741,562
743,563
744,564
