number,type,denomination,color,description,stamps_issued,mint_condition,unused,used,letter_fdc,date_of_issue,perforations,sheet_size,designed,engraved,height_width,image_accuracy,perforation_horizontal,perforation_vertical,perforation_keyword,value_from,value_to,number_issued,mint_condition_float,unused_float,used_float,letter_fdc_float,sheet_size_amount,sheet_size_x,sheet_size_y,sheet_size_note,height,width,setid
1,A,10-9890P,brownish red,,,1.5,,1.75,,1984-10-29,Imperforated,,,,,3,,,['Imperforated'],10.0,9890.0,,1.5,,1.75,,,,,,,,256031
2,B,10-9890P,reddish purple,,,2.0,,2.25,,1988-01-04,Imperforated,,,,,3,,,['Imperforated'],10.0,9890.0,,2.0,,2.25,,,,,,,,256035
3,C,10-9890P,reddish purple,,,1.5,,1.75,,1989-01-02,Imperforated,,,,,3,,,['Imperforated'],10.0,9890.0,,1.5,,1.75,,,,,,,,256037
3A,C1,10-9890P,reddish purple,Fluorescent paper,,18.0,,10.00,,1989-01-02,Imperforated,,,,,3,,,['Imperforated'],10.0,9890.0,,18.0,,10.0,,,,,,,,256037
4,D,10-9890P,reddish purple,,,1.25,,1.50,,1990-03-01,Imperforated,,,,,3,,,['Imperforated'],10.0,9890.0,,1.25,,1.5,,,,,,,,256040
5,E,10-9890P,reddish purple,,,1.25,,1.50,,1993-01-04,Imperforated,,,,,3,,,['Imperforated'],10.0,9890.0,,1.25,,1.5,,,,,,,,256042
5A,E1,10-9890P,reddish purple,"Unwatermarked, Sept. 18th, 1995",,1.25,,1.50,,1993-01-04,Imperforated,,,,,0,,,['Imperforated'],10.0,9890.0,,1.25,,1.5,,,,,,,,256042
6,F,10-9890P,reddish purple,,,1.5,,1.75,,1995-04-05,Imperforated,,,,,3,,,['Imperforated'],10.0,9890.0,,1.5,,1.75,,,,,,,,256067
7,G,10-9900P,multicoloured,,,1.5,,1.75,,1996-09-06,Imperforated,,,,,3,,,['Imperforated'],10.0,9900.0,,1.5,,1.75,,,,,,,,256068
8,H,10-9900P,multicoloured,,,1.5,,1.75,,1997-09-08,Imperforated,,,,,3,,,['Imperforated'],10.0,9900.0,,1.5,,1.75,,,,,,,,256069
9,I,10-9900P,multicoloured,,,1.5,,1.75,,1998-09-11,Imperforated,,,,,3,,,['Imperforated'],10.0,9900.0,,1.5,,1.75,,,,,,,,256070
10,J,10-9900P,multicoloured,,,1.5,,1.75,,1999-10-29,Imperforated,,,,,3,,,['Imperforated'],10.0,9900.0,,1.5,,1.75,,,,,,,,256071
11,K,0.10-99.90mk.,multicoloured,,,1.25,,1.50,,2000-08-25,Imperforated,,Steffan Ulström,,,3,,,['Imperforated'],0.1,99.9,,1.25,,1.5,,,,,,,,256072
12,L,0.10-99.90mk.,multicoloured,,,1.25,,1.50,,2001-09-03,Imperforated,,,,,3,,,['Imperforated'],0.1,99.9,,1.25,,1.5,,,,,,,,256073
13,M,0.01-99.95€,multicoloured,,,1.25,,1.50,,2002-01-02,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.5,,,,,,,,256074
14,N,0.01-99.95€,multicoloured,Vaccinium myrtillus,,1.25,,1.50,,2003-05-09,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.5,,,,,,,,256075
15,O,0.01-99.95€,multicoloured,Vaccinium vitis-idaea,,1.25,,1.25,,2004-05-10,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256076
16,P,0.01-99.95€,multicoloured,Rubus chamaemorus,,1.25,,1.25,,2005-01-03,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256077
17,Q,0.01-99.95€,multicoloured,Syringa vulgaris,,1.25,,1.25,,2006-01-02,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256078
18,R,0.01-99.95€,multicoloured,Paeonia officinalis rubra plena,,1.25,,1.25,,2007-03-01,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256079
19,S,0.01-99.95€,multicoloured,"Rosa pimpinellifolia ""plena""",,1.25,,1.25,,2008-03-27,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256080
20,T,0.01-99.95€,multicoloured,,,1.25,,1.25,,2009-02-02,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256081
21,U,0.01-99.95€,multicoloured,,,1.25,,1.25,,2010-03-01,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256082
22,V,0.01-99.95€,multicoloured,,,1.25,,1.25,,2011-02-01,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256083
23,W,0.01-99.95€,multicoloured,Fluorescent paper,,1.5,,1.50,,2012-02-01,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.5,,1.5,,,,,,,,256084
23A,W1,0.01-99.95€,multicoloured,,,3.0,,3.00,,2012-02-01,Imperforated,,,,,0,,,['Imperforated'],0.01,99.95,,3.0,,3.0,,,,,,,,256084
24,X,0.01-99.95€,multicoloured,Clangula hyemalis,,1.25,,1.25,,2013-02-19,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256085
25,Y,0.01-99.95€,multicoloured,,,1.25,,1.25,,2014-02-07,Imperforated,,,,,3,,,['Imperforated'],0.01,99.95,,1.25,,1.25,,,,,,,,256086
26,Z,0.01-99.99€,multicoloured,,,1.25,,1.25,,2015-02-02,Imperforated,,,,,3,,,['Imperforated'],0.01,99.99,,1.25,,1.25,,,,,,,,256087
27,AA,0.01-99.99€,multicoloured,,,1.25,,1.25,,2016-02-02,Imperforated,,,,,3,,,['Imperforated'],0.01,99.99,,1.25,,1.25,,,,,,,,256088
28,AB,0.01-99.99€,multicoloured,,,1.25,,1.25,,2017-02-02,Imperforated,,,,,3,,,['Imperforated'],0.01,99.99,,1.25,,1.25,,,,,,,,256089
29,AC,0.01-99.99€,multicoloured,Platanthera bifolia,,1.25,,1.25,,2018-03-13,14¼,,Andy Horner (Photos),,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,256090
30,AD,0.01-99.99€,multicoloured,Dactylorhiza maculata,,1.25,,1.25,,2018-03-13,14¼,,Andy Horner (Photos),,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,256090
31,AE,0.01-99.99€,multicoloured,Ophrys insectifera,,1.25,,1.25,,2018-03-13,14¼,,Andy Horner (Photos),,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,256090
32,AF,0.01-99.99€,multicoloured,Goodyera repens,,1.25,,1.25,,2018-03-13,14¼,,Andy Horner (Photos),,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,256090
29‑32,,,,,,5.0,,5.00,,,,,,,,1,,,[],0.0,0.0,,5.0,,5.0,,,,,,,,256090
33,AG,0.01-99.99€,multicoloured,Dendrocopos major,,1.25,,1.25,,2019-02-01,14¼,,Bo Lundwall (Photos),,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,256091
34,AH,0.01-99.99€,multicoloured,Dendrocopos minor,,1.25,,1.25,,2019-02-01,14¼,,Bo Lundwall (Photos),,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,256091
35,AI,0.01-99.99€,multicoloured,Picus canus,,1.25,,1.25,,2019-02-01,14¼,,Bo Lundwall (Photos),,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,256091
36,AJ,0.01-99.99€,multicoloured,Dryocopus martius,,1.25,,1.25,,2019-02-01,14¼,,Bo Lundwall (Photos),,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,256091
33‑36,,,,Strip of 4,,5.0,,5.00,,,,,,,,1,,,[],0.0,0.0,,5.0,,5.0,,,,,,,,256091
33‑36,,,,,,5.0,,5.00,,,,,,,,1,,,[],0.0,0.0,,5.0,,5.0,,,,,,,,256091
37,AK,0.01-99.99€,multicoloured,Polygonatum odoratum,,1.25,,1.25,,2020-02-03,14¼,,Carolina Sundelin,,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,262292
38,AL,0.01-99.99€,multicoloured,Viola tricolor,,1.25,,1.25,,2020-02-03,14¼,,Carolina Sundelin,,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,262292
39,AM,0.01-99.99€,multicoloured,Centaurea jacea,,1.25,,1.25,,2020-02-03,14¼,,Carolina Sundelin,,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,262292
40,AN,0.01-99.99€,multicoloured,Caltha palustris,,1.25,,1.25,,2020-02-03,14¼,,Carolina Sundelin,,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,262292
37‑40,,,,,,5.0,,5.00,,,,,,,,1,,,[],0.0,0.0,,5.0,,5.0,,,,,,,,262292
41,AO,0.01-99.99€,multicoloured,Phylloscopus trochilus,,1.25,,1.25,,2021-02-02,14¼,,Julia Perander,,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,266841
42,AP,0.01-99.99€,multicoloured,Fringilla coelebs,,1.25,,1.25,,2021-02-02,14¼,,Julia Perander,,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,266841
43,AQ,0.01-99.99€,multicoloured,Sylvia atricapilla,,1.25,,1.25,,2021-02-02,14¼,,Julia Perander,,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,266841
44,AR,0.01-99.99€,multicoloured,Erithacus rubecula,,1.25,,1.25,,2021-02-02,14¼,,Julia Perander,,,3,14.25,14.25,[],0.01,99.99,,1.25,,1.25,,,,,,,,266841
41‑44,,,,,,5.0,,5.00,,,,,,,,1,,,[],0.0,0.0,,5.0,,5.0,,,,,,,,266841
1,A,0.20mk.,olive green,Ships,(2 mill),0.25,,0.25,,1984-03-01,11,100.0,Pirkko Vahtero,,,3,11.0,11.0,[],0.2,0.2,2000000.0,0.25,,0.25,,,,,,,,8936
2,A1,0.50mk.,dark green,Ships,(2 mill),0.25,,0.25,,1984-03-01,11,100.0,Pirkko Vahtero,,,3,11.0,11.0,[],0.5,0.5,2000000.0,0.25,,0.25,,,,,,,,8936
3,A2,1.10mk.,blue,Ships,"(1,5 mill)",0.5,,0.50,,1984-03-01,11,100.0,Pirkko Vahtero,,,3,11.0,11.0,[],1.1,1.1,1500000.0,0.5,,0.5,,,,,,,,8936
1‑3,,,,,,1.0,,1.00,,,,,,,,1,,,[],0.0,0.0,,1.0,,1.0,,,,,,,,8936
4,B,1.40mk.,multicoloured,Perf: 14,(3 mill),0.5,,0.50,,1984-03-01,13,40.0,Pentti Rahikainen and Eeva Oivo,(Feuille de 40 timbres + 10 vignettes),,3,13.0,13.0,[],1.4,1.4,3000000.0,0.5,,0.5,,,,,,,,9870
5,C,3.00mk.,multicoloured,,"(1,5 mill)",1.0,,1.00,,1984-03-01,13,40.0,Pentti Rahikainen and Eeva Oivo,(Feuille de 40 timbres + 10 vignettes),,3,13.0,13.0,[],3.0,3.0,1500000.0,1.0,,1.0,,,,,,,,9870
6,D,10.00mk.,multicoloured,Royal,(1 mill),3.0,,3.00,,1984-03-01,13,40.0,Pentti Rahikainen and Eeva Oivo,(Feuille de 40 timbres + 10 vignettes),,3,13.0,13.0,[],10.0,10.0,1000000.0,3.0,,3.0,,,,,,,,9870
4‑6,,,,,,4.5,,4.50,,,,,,,,1,,,[],0.0,0.0,,4.5,,4.5,,,,,,,,9870
7,E,2.00mk.,multicoloured,,(1 mill),2.5,,2.50,,1984-03-01,14,40.0,Eeva Oivo,(Feuille de 40 timbres + 10 vignettes),24.0 X 34.0 mm,3,14.0,14.0,[],2.0,2.0,1000000.0,2.5,,2.5,,,,,,24.0,34.0,8938
8,F1,1.50mk.,multicoloured,Fluorescent paper,(2 mill),0.75,,0.75,,1985-01-02,14,40.0,Rolf Christianson,,,3,14.0,14.0,[],1.5,1.5,2000000.0,0.75,,0.75,,,,,,,,8939
8A,F,1.50mk.,multicoloured,"Normal paper - May 21st, 1990",(500000),0.75,,0.75,,1985-01-02,14,40.0,Rolf Christianson,,,3,14.0,14.0,[],1.5,1.5,500000.0,0.75,,0.75,,,,,,,,8939
9,A3,0.10mk.,reddish purple,,(2 mill),0.25,,0.25,,1985-01-02,11¾,100.0,Pirkko Vahtero,,,3,11.75,11.75,[],0.1,0.1,2000000.0,0.25,,0.25,,,,,,,,8940
10,A4,1.20mk.,greyish green,,"(1,5 mill)",0.5,,0.50,,1985-01-02,11¾,100.0,Pirkko Vahtero,,,3,11.75,11.75,[],1.2,1.2,1500000.0,0.5,,0.5,,,,,,,,8940
9‑10,,,,,,0.75,,0.75,,,,,,,,1,,,[],0.0,0.0,,0.75,,0.75,,,,,,,,8940
