setid,country,category,year,url,name,description
256031,Aaland,Franking labels,1984,https://www.stampworld.com/stamps/Aaland/Franking labels/g0001//,1984 Franking Label,29. October WM: None Perforation: Imperforated
256035,Aaland,Franking labels,1988,https://www.stampworld.com/stamps/Aaland/Franking labels/g0002//,1988 Franking Label,4. January WM: None Perforation: Imperforated
256037,Aaland,Franking labels,1989,https://www.stampworld.com/stamps/Aaland/Franking labels/g0003//,1989 Franking Label,2. January WM: None Perforation: Imperforated
256040,Aaland,Franking labels,1990,https://www.stampworld.com/stamps/Aaland/Franking labels/g0004//,1990 Franking Label,1. March WM: None Perforation: Imperforated
256042,Aaland,Franking labels,1993,https://www.stampworld.com/stamps/Aaland/Franking labels/g0005//,1993 Franking Label,4. January WM: 1 Perforation: Imperforated
256067,Aaland,Franking labels,1995,https://www.stampworld.com/stamps/Aaland/Franking labels/g0006//,1995 Franking Label,5. April WM: None Perforation: Imperforated
256068,Aaland,Franking labels,1996,https://www.stampworld.com/stamps/Aaland/Franking labels/g0007//,1996 Franking Label - Mythical Animals,6. September WM: None Perforation: Imperforated
256069,Aaland,Franking labels,1997,https://www.stampworld.com/stamps/Aaland/Franking labels/g0008//,1997 Franking Label - Figureheads,8. September WM: None Perforation: Imperforated
256070,Aaland,Franking labels,1998,https://www.stampworld.com/stamps/Aaland/Franking labels/g0009//,1998 Franking Label - Figureheads,11. September WM: None Perforation: Imperforated
256071,Aaland,Franking labels,1999,https://www.stampworld.com/stamps/Aaland/Franking labels/g0010//,1999 Franking Label - Figureheads,29. October WM: None Perforation: Imperforated
256072,Aaland,Franking labels,2000,https://www.stampworld.com/stamps/Aaland/Franking labels/g0011//,2000 Franking Label - Domestic Animals,25. August WM: None Design: Steffan Ulström Perforation: Imperforated
256073,Aaland,Franking labels,2001,https://www.stampworld.com/stamps/Aaland/Franking labels/g0012//,2001 Franking Label - Domestic Animals,3. September WM: None Perforation: Imperforated
256074,Aaland,Franking labels,2002,https://www.stampworld.com/stamps/Aaland/Franking labels/g0013//,2002 Franking Label - Domestic Animals,2. January WM: None Perforation: Imperforated
256075,Aaland,Franking labels,2003,https://www.stampworld.com/stamps/Aaland/Franking labels/g0014//,2003 Franking Label - Berries,9. May WM: None Perforation: Imperforated
256076,Aaland,Franking labels,2004,https://www.stampworld.com/stamps/Aaland/Franking labels/g0015//,2004 Franking Label - Berries,10. May WM: None Perforation: Imperforated
256077,Aaland,Franking labels,2005,https://www.stampworld.com/stamps/Aaland/Franking labels/g0016//,2005 Franking Label - Berries,3. January WM: None Perforation: Imperforated
256078,Aaland,Franking labels,2006,https://www.stampworld.com/stamps/Aaland/Franking labels/g0017//,2006 Franking Label - Garden Plants,2. January WM: None Perforation: Imperforated
256079,Aaland,Franking labels,2007,https://www.stampworld.com/stamps/Aaland/Franking labels/g0018//,2007 Franking Label - Garden Plants,1. March WM: None Perforation: Imperforated
256080,Aaland,Franking labels,2008,https://www.stampworld.com/stamps/Aaland/Franking labels/g0019//,2008 Franking Label - Garden Plants,27. March WM: None Perforation: Imperforated
256081,Aaland,Franking labels,2009,https://www.stampworld.com/stamps/Aaland/Franking labels/g0020//,2009 Franking Label - Sail Ships,2. February WM: None Perforation: Imperforated
256082,Aaland,Franking labels,2010,https://www.stampworld.com/stamps/Aaland/Franking labels/g0021//,2010 Franking Label - Sail Ships,1. March WM: None Perforation: Imperforated
256083,Aaland,Franking labels,2011,https://www.stampworld.com/stamps/Aaland/Franking labels/g0022//,2011 Franking Label - Sail Ships,1. February WM: None Perforation: Imperforated
256084,Aaland,Franking labels,2012,https://www.stampworld.com/stamps/Aaland/Franking labels/g0023//,2012 Franking Labels - Water Birds,1. February WM: None Perforation: Imperforated
256085,Aaland,Franking labels,2013,https://www.stampworld.com/stamps/Aaland/Franking labels/g0024//,2013 Franking Label - Water Birds,19. February WM: None Perforation: Imperforated
256086,Aaland,Franking labels,2014,https://www.stampworld.com/stamps/Aaland/Franking labels/g0025//,2014 Franking Label - Water Birds,7. February WM: None Perforation: Imperforated
256087,Aaland,Franking labels,2015,https://www.stampworld.com/stamps/Aaland/Franking labels/g0026//,2015 Franking Label - Beach Finds,2. February WM: None Perforation: Imperforated
256088,Aaland,Franking labels,2016,https://www.stampworld.com/stamps/Aaland/Franking labels/g0027//,2016 Franking Label - Beach Finds,2. February WM: None Perforation: Imperforated
256089,Aaland,Franking labels,2017,https://www.stampworld.com/stamps/Aaland/Franking labels/g0028//,2017 Franking Label - Beach Finds,2. February WM: None Perforation: Imperforated
256090,Aaland,Franking labels,2018,https://www.stampworld.com/stamps/Aaland/Franking labels/g0029//,2018 Franking Labels - Orchids,13. March WM: None Design: Andy Horner (Photos) Perforation: 14¼
256091,Aaland,Franking labels,2019,https://www.stampworld.com/stamps/Aaland/Franking labels/g0033//,2019 Franking Labels - Birds,1. February WM: None Design: Bo Lundwall (Photos) Perforation: 14¼
262292,Aaland,Franking labels,2020,https://www.stampworld.com/stamps/Aaland/Franking labels/g0037//,2020 Franking Labels - Wild Flowers,3. February WM: None Design: Carolina Sundelin Perforation: 14¼
266841,Aaland,Franking labels,2021,https://www.stampworld.com/stamps/Aaland/Franking labels/g0041//,2021 Franking Labels - Songbirds,2. February WM: None Design: Julia Perander Perforation: 14¼
8936,Aaland,Postage stamps,1984,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0001//,1984 Fishing Boat,1. March WM: None Sheetsize: 100 Design: Pirkko Vahtero Perforation: 11
9870,Aaland,Postage stamps,1984,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0004//,1984 National Symbols,1. March WM: None Sheetsize: 40 Design: Pentti Rahikainen and Eeva Oivo Engraving: (Feuille de 40 timbres + 10 vignettes) Perforation: 13
8938,Aaland,Postage stamps,1984,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0007//,1984 Navigation,1. March WM: None Sheetsize: 40 Design: Eeva Oivo Engraving: (Feuille de 40 timbres + 10 vignettes) Perforation: 14
8939,Aaland,Postage stamps,1985,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0008//,1985 Midsummer Pole,2. January WM: None Sheetsize: 40 Design: Rolf Christianson Perforation: 14
8940,Aaland,Postage stamps,1985,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0009//,1985 Fishing Boat - New Values,2. January WM: None Sheetsize: 100 Design: Pirkko Vahtero Perforation: 11¾
8941,Aaland,Postage stamps,1985,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0011//,1985 Landscapes,16. September WM: None Sheetsize: 40 Design: Eeva Oivo Engraving: Finlands Banks Sedeltryckeri Perforation: 13
8942,Aaland,Postage stamps,1986,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0014//,1986 Fishing Boat - New Value,2. January WM: None Sheetsize: 20 Design: Pirkko Vahtero Perforation: 11¾
8943,Aaland,Postage stamps,1986,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0015//,1986 Northern Championship in Orienteering,2. January WM: None Sheetsize: 40 Design: Pirkko Vahtero Engraving: (Feuille de 40 timbres + 10 vignettes) Perforation: 14
8944,Aaland,Postage stamps,1986,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0016//,1986 Historical Motifs,4. April WM: None Sheetsize: 40 Design: Eeva Oivo Engraving: (Feuille de 40 timbres + 10 vignettes) Perforation: 13
9029,Aaland,Postage stamps,1986,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0019//,1986 The 100th Anniversary of the Town of Önningeby,1. September WM: None Sheetsize: 40 Design: Asser Jaaro Engraving: (Feuille de 40 timbres + 10 vignettes) Perforation: 14
9030,Aaland,Postage stamps,1987,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0020//,1987 Birds - Ducks,2. January WM: None Sheetsize: 40 Design: Eeva Oivo Engraving: (Feuille de 40 timbres + 10 vignettes) Perforation: 14
9031,Aaland,Postage stamps,1987,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0023//,1987 The 100th Anniversary of the Fire Brigade,27. April WM: None Sheetsize: 40 Design: Asser Jaaro Engraving: (Feuille de 40 timbres + 10 vignettes) Perforation: 14
9032,Aaland,Postage stamps,1987,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0024//,1987 The Färsjund Bridge,27. April WM: None Sheetsize: 40 Design: Martin Mörk Engraving: Martin Mörck (Feuille de 40 timbres + 10 vignettes) Perforation: 14
9033,Aaland,Postage stamps,1987,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0025//,1987 The 70th Anniversary of the Independence Movement - Ålandsrørelsen,20. August WM: None Sheetsize: 40 Design: Tage Wilen Perforation: 14
9034,Aaland,Postage stamps,1988,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0026//,1988 The 350th Anniversary of the Postal Service,4. January WM: None Sheetsize: 40 Design: Pirkko Vahtero Perforation: 14
9035,Aaland,Postage stamps,1988,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0027//,1988 The 100th Anniversary of Agricultural Education,29. March WM: None Sheetsize: 40 Design: Tage Wilén Perforation: 14
9036,Aaland,Postage stamps,1988,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0028//,1988 Sailing Ships,4. June WM: None Sheetsize: 40 Design: Allan Palmer Engraving: Finlands Banks Sedeltryckeri Perforation: 13
9037,Aaland,Postage stamps,1988,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0031//,1988 Jomala Church,26. August WM: None Sheetsize: 40 Design: Pirkko Vahtero Perforation: 14
9038,Aaland,Postage stamps,1989,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0032//,1989 The City Hall in Maarianhaminan,2. January WM: None Sheetsize: 40 Design: Folke Wickström Perforation: 14
9039,Aaland,Postage stamps,1989,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0033//,1989 Flora - Orchids,10. April WM: None Sheetsize: 40 Design: Allan palmer Perforation: 13
9040,Aaland,Postage stamps,1989,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0036//,1989 The 350th Anniversary of the Educational System,31. May WM: None Sheetsize: 40 Design: Tage Wilén Perforation: 14
9041,Aaland,Postage stamps,1989,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0037//,1989 Finströmin Church,4. September WM: None Sheetsize: 40 Design: Pirkko Vahtero Perforation: 14
8958,Aaland,Postage stamps,1990,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0038//,1990 Fish,1. March WM: None Sheetsize: 40 Design: Anni Wikberg Engraving: Finlands Banks Sedeltryckeri Perforation: 13
8959,Aaland,Postage stamps,1990,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0041//,1990 Rya Carpet,19. April WM: None Sheetsize: 40 Design: Kjell Ekström Engraving: Frenckellska Tryckeri Ab. Perforation: 14
8960,Aaland,Postage stamps,1990,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0042//,1990 The Fresco in Kumlinge Church,10. September WM: None Sheetsize: 40 Design: Torbjörn Eckerman Engraving: Finlands Banks Sedeltryckeri Perforation: 14
8961,Aaland,Postage stamps,1990,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0043//,1990 The Lumparlandin Church,10. September WM: None Sheetsize: 40 Design: Pirkko Vahtero Perforation: 14
8962,Aaland,Postage stamps,1991,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0044//,1991 Animals in Nature,1. March WM: None Sheetsize: 40 Design: Torbjörn Eckerman Perforation: 13
8963,Aaland,Postage stamps,1991,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0047//,1991 Aaland Island Games 91,5. April WM: None Sheetsize: 4 Design: Bror-Erik Elfsberg and Torsten Ekström Perforation: 12¾
8964,Aaland,Postage stamps,1991,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0051//,1991 Northern Edition,4. June WM: None Sheetsize: 40 Design: Anni Wikberg Engraving: Frenckellska Tryckeri Ab. Perforation: 14
8965,Aaland,Postage stamps,1991,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0053//,1991 The 70th Anniversary of Aaland Self-Government,4. June WM: None Sheetsize: 40 Design: Isa Hällström Perforation: 13 x 13¼
8966,Aaland,Postage stamps,1991,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0054//,1991 The Värdö Church,9. October WM: None Sheetsize: 40 Design: Pirkko Vahtero Perforation: 14
8967,Aaland,Postage stamps,1992,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0055//,1992 Cape Horn Congress,"2. March WM: None Sheetsize: 40 Design: Martin Mörck Engraving: John Enschedé, Netherlands. Perforation: 13¼ x 13¾"
8968,Aaland,Postage stamps,1992,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0056//,1992 The 200th Anniversary of the Birth of the Minister Frans Peter von Knorring,2. March WM: None Sheetsize: 40 Design: Emmanuel Janssonin and Isa Hällström Engraving: Setec Oy Perforation: 13
8969,Aaland,Postage stamps,1992,https://www.stampworld.com/stamps/Aaland/Postage-stamps/g0057//,1992 Lighthouses,8. May WM: None Sheetsize: 4 Design: Allan Palmer Engraving: Setec Oy Perforation: 13
